"Date Printed: Sunday, April 16, 2023 10:46:30 PM"
Title: "AIDS classifications | AIDS deaths | AIDS prevalence | HIV deaths | HIV diagnoses | HIV prevalence | 2008 | 2009 | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 | 2017 | 2018 | 2019 | 2020 (COVID-19 Pandemic) | Alabama | Alaska | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | All races/ethnicities | Both sexes | Ages 13 years and older | All transmission categories"
Footnote(s): Data for years 2021 and 2022 are preliminary (subject to a 12-month reporting delay). Data for the year 2020 should be interpreted with caution due to the impact of the COVID-19 pandemic on access to HIV testing, care-related services, and case surveillance activities in state/local jurisdictions. Inclusion of 2020 through 2022 data in trend assessments is discouraged. Data by transmission category presented based on sex assigned at birth and are adjusted for missing transmission category. See Technical notes for more details on data availability and stratifications.
Death data for the year 2020 are preliminary and based on death data received by CDC as of December 2021. Death data based on residence at death. See Technical Notes for death reporting by jurisdiction.
Prevalence data for the year 2020 are preliminary and based on death data received by CDC as of December 2021. Prevalence data prior to 2010 are based on residence at diagnosis; prevalence data from 2010 to present are based on most recent known address. See Technical Notes for death reporting by jurisdiction.
^ Jurisdiction with incomplete reporting of deaths for most recent year.
The 'Sex' column is used for either sex at birth or gender identity.
NA - Not applicable.



指标 ,年 ,地理 ,案例 ,每 100000 人的比率 
"AIDS prevalence","2009","Arizona","04","5,376","101.1"
"AIDS prevalence","2010","Arizona","04","6,277","120.0"
"AIDS prevalence","2011","Arizona","04","6,463","121.8"
"AIDS prevalence","2012","Arizona","04","6,707","124.5"
"AIDS prevalence","2013","Arizona","04","6,910","126.4"
"AIDS prevalence","2014","Arizona","04","7,160","128.6"
"AIDS prevalence","2015","Arizona","04","7,279","128.5"
"AIDS prevalence","2016","Arizona","04","7,369","127.7"
"AIDS prevalence","2017","Arizona","04","7,523","128.1"
"AIDS prevalence","2018","Arizona","04","7,690","128.3"
"AIDS prevalence","2019","Arizona","04","7,888","128.8"
"AIDS prevalence","2020 (COVID-19 Pandemic)","Arizona","04","8,023","128.3"
"HIV deaths","2008","Arizona","04","228","4.4"
"HIV deaths","2009","Arizona","04","212","4.0"
"HIV deaths","2010","Arizona","04","196","3.7"
"HIV deaths","2011","Arizona","04","188","3.5"
"HIV deaths","2012","Arizona","04","211","3.9"
"HIV deaths","2013","Arizona","04","214","3.9"
"HIV deaths","2014","Arizona","04","223","4.0"
"HIV deaths","2015","Arizona","04","214","3.8"
"HIV deaths","2016","Arizona","04","243","4.2"
"HIV deaths","2017","Arizona","04","248","4.2"
"HIV deaths","2018","Arizona","04","251","4.2"
"HIV deaths","2019","Arizona","04","234","3.8"
"HIV deaths","2020 (COVID-19 Pandemic)","Arizona","04","280","4.5"
"HIV diagnoses","2008","Arizona","04","681","13.0"
"HIV diagnoses","2009","Arizona","04","639","12.0"
"HIV diagnoses","2010","Arizona","04","615","11.8"
"HIV diagnoses","2011","Arizona","04","564","10.6"
"HIV diagnoses","2012","Arizona","04","618","11.5"
"HIV diagnoses","2013","Arizona","04","681","12.5"
"HIV diagnoses","2014","Arizona","04","736","13.2"
"HIV diagnoses","2015","Arizona","04","690","12.2"
"HIV diagnoses","2016","Arizona","04","714","12.4"
"HIV diagnoses","2017","Arizona","04","720","12.3"
"HIV diagnoses","2018","Arizona","04","752","12.5"
"HIV diagnoses","2019","Arizona","04","747","12.2"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Arizona","04","662","10.6"
"HIV prevalence","2008","Arizona","04","10,755","205.4"
"HIV prevalence","2009","Arizona","04","11,194","210.6"
"HIV prevalence","2010","Arizona","04","11,982","229.1"
"HIV prevalence","2011","Arizona","04","12,364","233.1"
"HIV prevalence","2012","Arizona","04","12,926","239.9"
"HIV prevalence","2013","Arizona","04","13,440","245.8"
"HIV prevalence","2014","Arizona","04","14,115","253.6"
"HIV prevalence","2015","Arizona","04","14,710","259.8"
"HIV prevalence","2016","Arizona","04","15,201","263.4"
"HIV prevalence","2017","Arizona","04","15,776","268.5"
"HIV prevalence","2018","Arizona","04","16,425","274.1"
"HIV prevalence","2019","Arizona","04","17,155","280.2"
"HIV prevalence","2020 (COVID-19 Pandemic)","Arizona","04","17,695","282.9"
"AIDS classifications","2008","Arkansas","05","116","4.9"
"AIDS classifications","2009","Arkansas","05","172","7.2"
"AIDS classifications","2010","Arkansas","05","150","6.2"
"AIDS classifications","2011","Arkansas","05","123","5.1"
"AIDS classifications","2012","Arkansas","05","129","5.3"
"AIDS classifications","2013","Arkansas","05","159","6.5"
"AIDS classifications","2014","Arkansas","05","138","5.6"
"AIDS classifications","2015","Arkansas","05","128","5.2"
"AIDS classifications","2016","Arkansas","05","109","4.4"
"AIDS classifications","2017","Arkansas","05","132","5.3"
"AIDS classifications","2018","Arkansas","05","119","4.7"
"AIDS classifications","2019","Arkansas","05","135","5.4"
"AIDS classifications","2020 (COVID-19 Pandemic)","Arkansas","05","114","4.5"
"AIDS deaths","2008","Arkansas","05","100","4.2"
"AIDS deaths","2009","Arkansas","05","85","3.6"
"AIDS deaths","2010","Arkansas","05","86","3.6"
"AIDS deaths","2011","Arkansas","05","89","3.7"
"AIDS deaths","2012","Arkansas","05","72","3.0"
"AIDS deaths","2013","Arkansas","05","92","3.8"
"AIDS deaths","2014","Arkansas","05","94","3.8"
"AIDS deaths","2015","Arkansas","05","85","3.4"
"AIDS deaths","2016","Arkansas","05","69","2.8"
"AIDS deaths","2017","Arkansas","05","79","3.2"
"AIDS deaths","2018","Arkansas","05","62","2.5"
"AIDS deaths","2019","Arkansas","05","77","3.1"
"AIDS deaths","2020 (COVID-19 Pandemic)","Arkansas","05","74","2.9"
"AIDS prevalence","2008","Arkansas","05","1,929","81.8"
"AIDS prevalence","2009","Arkansas","05","2,017","85.0"
"AIDS prevalence","2010","Arkansas","05","2,059","85.5"
"AIDS prevalence","2011","Arkansas","05","2,093","86.2"
"AIDS prevalence","2012","Arkansas","05","2,156","88.4"
"AIDS prevalence","2013","Arkansas","05","2,237","91.3"
"AIDS prevalence","2014","Arkansas","05","2,344","95.3"
"AIDS prevalence","2015","Arkansas","05","2,383","96.4"
"AIDS prevalence","2016","Arkansas","05","2,459","99.0"
"AIDS prevalence","2017","Arkansas","05","2,537","101.6"
"AIDS prevalence","2018","Arkansas","05","2,569","102.5"
"AIDS prevalence","2019","Arkansas","05","2,648","105.1"
"AIDS prevalence","2020 (COVID-19 Pandemic)","Arkansas","05","2,719","107.4"
"HIV deaths","2008","Arkansas","05","112","4.8"
"HIV deaths","2009","Arkansas","05","110","4.6"
"HIV deaths","2010","Arkansas","05","113","4.7"
"HIV deaths","2011","Arkansas","05","106","4.4"
"HIV deaths","2012","Arkansas","05","89","3.6"
"HIV deaths","2013","Arkansas","05","118","4.8"
"HIV deaths","2014","Arkansas","05","117","4.8"
"HIV deaths","2015","Arkansas","05","111","4.5"
"HIV deaths","2016","Arkansas","05","98","3.9"
"HIV deaths","2017","Arkansas","05","105","4.2"
"HIV deaths","2018","Arkansas","05","83","3.3"
"HIV deaths","2019","Arkansas","05","107","4.2"
"HIV deaths","2020 (COVID-19 Pandemic)","Arkansas","05","106","4.2"
"HIV diagnoses","2008","Arkansas","05","232","9.8"
"HIV diagnoses","2009","Arkansas","05","275","11.6"
"HIV diagnoses","2010","Arkansas","05","230","9.6"
"HIV diagnoses","2011","Arkansas","05","237","9.8"
"HIV diagnoses","2012","Arkansas","05","248","10.2"
"HIV diagnoses","2013","Arkansas","05","261","10.7"
"HIV diagnoses","2014","Arkansas","05","309","12.6"
"HIV diagnoses","2015","Arkansas","05","271","11.0"
"HIV diagnoses","2016","Arkansas","05","314","12.6"
"HIV diagnoses","2017","Arkansas","05","287","11.5"
"HIV diagnoses","2018","Arkansas","05","286","11.4"
"HIV diagnoses","2019","Arkansas","05","289","11.5"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Arkansas","05","242","9.6"
"HIV prevalence","2008","Arkansas","05","4,002","169.8"
"HIV prevalence","2009","Arkansas","05","4,163","175.4"
"HIV prevalence","2010","Arkansas","05","4,171","173.2"
"HIV prevalence","2011","Arkansas","05","4,273","176.1"
"HIV prevalence","2012","Arkansas","05","4,449","182.4"
"HIV prevalence","2013","Arkansas","05","4,627","188.8"
"HIV prevalence","2014","Arkansas","05","4,932","200.4"
"HIV prevalence","2015","Arkansas","05","5,083","205.6"
"HIV prevalence","2016","Arkansas","05","5,338","214.9"
"HIV prevalence","2017","Arkansas","05","5,547","222.2"
"HIV prevalence","2018","Arkansas","05","5,699","227.3"
"HIV prevalence","2019","Arkansas","05","5,915","234.9"
"HIV prevalence","2020 (COVID-19 Pandemic)","Arkansas","05","6,058","239.3"
"AIDS classifications","2008","California","06","3,618","12.1"
"AIDS classifications","2009","California","06","3,674","12.2"
"AIDS classifications","2010","California","06","3,106","10.1"
"AIDS classifications","2011","California","06","2,735","8.8"
"AIDS classifications","2012","California","06","2,756","8.8"
"AIDS classifications","2013","California","06","2,512","7.9"
"AIDS classifications","2014","California","06","2,065","6.4"
"AIDS classifications","2015","California","06","1,932","6.0"
"AIDS classifications","2016","California","06","1,996","6.1"
"AIDS classifications","2017","California","06","1,930","5.9"
"AIDS classifications","2018","California","06","1,809","5.5"
"AIDS classifications","2019","California","06","1,848","5.6"
"AIDS classifications","2020 (COVID-19 Pandemic)","California","06","1,711","5.2"
"AIDS deaths","2008","California","06","1,479","5.0"
"AIDS deaths","2009","California","06","1,385","4.6"
"AIDS deaths","2010","California","06","1,274","4.1"
"AIDS deaths","2011","California","06","1,323","4.3"
"AIDS deaths","2012","California","06","1,308","4.2"
"AIDS deaths","2013","California","06","1,337","4.2"
"AIDS deaths","2014","California","06","1,380","4.3"
"AIDS deaths","2015","California","06","1,416","4.4"
"AIDS deaths","2016","California","06","1,458","4.5"
"AIDS deaths","2017","California","06","1,435","4.4"
"AIDS deaths","2018","California","06","1,412","4.3"
"AIDS deaths","2019","California","06","1,381","4.2"
"AIDS deaths","2020 (COVID-19 Pandemic)","California","06","1,426","4.3"
"AIDS prevalence","2008","California","06","62,720","210.2"
"AIDS prevalence","2009","California","06","64,933","215.2"
"AIDS prevalence","2010","California","06","64,320","209.2"
"AIDS prevalence","2011","California","06","65,389","210.5"
"AIDS prevalence","2012","California","06","66,580","212.2"
"AIDS prevalence","2013","California","06","67,552","213.1"
"AIDS prevalence","2014","California","06","67,753","211.5"
"AIDS prevalence","2015","California","06","68,407","211.5"
"AIDS prevalence","2016","California","06","69,158","212.1"
"AIDS prevalence","2017","California","06","69,572","212.0"
"AIDS prevalence","2018","California","06","69,686","211.3"
"AIDS prevalence","2019","California","06","69,881","211.3"
"AIDS prevalence","2020 (COVID-19 Pandemic)","California","06","69,769","210.8"
"HIV deaths","2008","California","06","1,771","5.9"
"HIV deaths","2009","California","06","1,619","5.4"
"HIV deaths","2010","California","06","1,537","5.0"
"HIV deaths","2011","California","06","1,589","5.1"
"HIV deaths","2012","California","06","1,556","5.0"
"HIV deaths","2013","California","06","1,600","5.0"
"HIV deaths","2014","California","06","1,634","5.1"
"HIV deaths","2015","California","06","1,701","5.3"
"HIV deaths","2016","California","06","1,771","5.4"
"HIV deaths","2017","California","06","1,726","5.3"
"HIV deaths","2018","California","06","1,732","5.3"
"HIV deaths","2019","California","06","1,764","5.3"
"HIV deaths","2020 (COVID-19 Pandemic)","California","06","1,783","5.4"
"HIV diagnoses","2008","California","06","5,708","19.1"
"HIV diagnoses","2009","California","06","5,408","17.9"
"HIV diagnoses","2010","California","06","5,260","17.1"
"HIV diagnoses","2011","California","06","5,022","16.2"
"HIV diagnoses","2012","California","06","5,031","16.0"
"HIV diagnoses","2013","California","06","4,677","14.8"
"HIV diagnoses","2014","California","06","5,112","16.0"
"HIV diagnoses","2015","California","06","5,041","15.6"
"HIV diagnoses","2016","California","06","5,092","15.6"
"HIV diagnoses","2017","California","06","4,839","14.7"
"HIV diagnoses","2018","California","06","4,749","14.4"
"HIV diagnoses","2019","California","06","4,454","13.5"
"HIV diagnoses","2020 (COVID-19 Pandemic)","California","06","3,924","11.9"
"HIV prevalence","2008","California","06","99,054","332.0"
"HIV prevalence","2009","California","06","102,848","340.9"
"HIV prevalence","2010","California","06","105,386","342.7"
"HIV prevalence","2011","California","06","108,387","348.9"
"HIV prevalence","2012","California","06","111,532","355.5"
"HIV prevalence","2013","California","06","114,284","360.6"
"HIV prevalence","2014","California","06","117,143","365.7"
"HIV prevalence","2015","California","06","120,791","373.5"
"HIV prevalence","2016","California","06","124,594","382.2"
"HIV prevalence","2017","California","06","127,740","389.2"
"HIV prevalence","2018","California","06","130,463","395.5"
"HIV prevalence","2019","California","06","132,916","401.9"
"HIV prevalence","2020 (COVID-19 Pandemic)","California","06","134,381","406.0"
"AIDS classifications","2008","Colorado","08","309","7.6"
"AIDS classifications","2009","Colorado","08","268","6.5"
"AIDS classifications","2010","Colorado","08","273","6.6"
"AIDS classifications","2011","Colorado","08","236","5.6"
"AIDS classifications","2012","Colorado","08","209","4.9"
"AIDS classifications","2013","Colorado","08","184","4.2"
"AIDS classifications","2014","Colorado","08","192","4.3"
"AIDS classifications","2015","Colorado","08","184","4.0"
"AIDS classifications","2016","Colorado","08","176","3.8"
"AIDS classifications","2017","Colorado","08","174","3.7"
"AIDS classifications","2018","Colorado","08","187","3.9"
"AIDS classifications","2019","Colorado","08","210","4.3"
"AIDS classifications","2020 (COVID-19 Pandemic)","Colorado","08","155","3.1"
"AIDS deaths","2008","Colorado","08","91","2.2"
"AIDS deaths","2009","Colorado","08","110","2.7"
"AIDS deaths","2010","Colorado","08","113","2.7"
"AIDS deaths","2011","Colorado","08","106","2.5"
"AIDS deaths","2012","Colorado","08","86","2.0"
"AIDS deaths","2013","Colorado","08","96","2.2"
"AIDS deaths","2014","Colorado","08","117","2.6"
"AIDS deaths","2015","Colorado","08","102","2.2"
"AIDS deaths","2016","Colorado","08","99","2.1"
"AIDS deaths","2017","Colorado","08","106","2.2"
"AIDS deaths","2018","Colorado","08","116","2.4"
"AIDS deaths","2019","Colorado","08","99","2.0"
"AIDS deaths","2020 (COVID-19 Pandemic)","Colorado","08","114","2.3"
"AIDS prevalence","2008","Colorado","08","4,211","104.0"
"AIDS prevalence","2009","Colorado","08","4,385","106.4"
"AIDS prevalence","2010","Colorado","08","4,334","104.4"
"AIDS prevalence","2011","Colorado","08","4,504","106.7"
"AIDS prevalence","2012","Colorado","08","4,618","107.6"
"AIDS prevalence","2013","Colorado","08","4,696","107.5"
"AIDS prevalence","2014","Colorado","08","4,804","108.0"
"AIDS prevalence","2015","Colorado","08","4,963","109.2"
"AIDS prevalence","2016","Colorado","08","5,285","114.0"
"AIDS prevalence","2017","Colorado","08","5,302","112.5"
"AIDS prevalence","2018","Colorado","08","5,427","113.2"
"AIDS prevalence","2019","Colorado","08","5,537","113.8"
"AIDS prevalence","2020 (COVID-19 Pandemic)","Colorado","08","5,575","113.2"
"HIV deaths","2008","Colorado","08","118","2.9"
"HIV deaths","2009","Colorado","08","141","3.4"
"HIV deaths","2010","Colorado","08","137","3.3"
"HIV deaths","2011","Colorado","08","126","3.0"
"HIV deaths","2012","Colorado","08","112","2.6"
"HIV deaths","2013","Colorado","08","114","2.6"
"HIV deaths","2014","Colorado","08","141","3.2"
"HIV deaths","2015","Colorado","08","123","2.7"
"HIV deaths","2016","Colorado","08","128","2.8"
